created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Dec 06 09:20:48 +0000 2023;1732329230976094635;"Siswi SMA Lampung Jadi Korban Bullying: Terpaksa Lakukan Adegan Terlarang, Depresi, Keluarga Laporkan ke Polisi! https://t.co/zl3Wf5PQYY";0;0;0;0;in;2923415096;1732329230976094635;jogjaposid;https://twitter.com/jogjaposid/status/1732329230976094635
Wed Dec 06 07:42:06 +0000 2023;1732304392307761364;"@Pai_C1 Kasian Korban dan keluarganya, Para Bajiangan ini apa tahu bagaimana rasanya merawat orang depresi.  Jangan hanya dengan maaf bisa selesai semuanya.";0;0;0;0;in;1180064811150766081;1732214672353530161;D_Aston_;https://twitter.com/D_Aston_/status/1732304392307761364
Wed Dec 06 07:02:13 +0000 2023;1732294355531280773;"Guru Tahu Tapi Diam Saja, Siswi SMA Lampung Ini Sampai Masuk RSJ Gegara Depresi Jadi Korban  Bullying   https://t.co/QC3M7cksu8 #bullying #siswiSMA #depresi #RSJ #RumahSakitJiwa";0;0;0;0;in;1645671960796602371;1732294355531280773;infosemarangcom;https://twitter.com/infosemarangcom/status/1732294355531280773
Wed Dec 06 06:59:43 +0000 2023;1732293725072806116;"Guru Tahu Tapi Diam Saja, Siswi SMA Lampung Ini Sampai Masuk RSJ Gegara Depresi Jadi Korban Bullying   https://t.co/QC3M7cksu8 #bullying #siswiSMA #depresi #RSJ #RumahSakitJiwa";0;0;0;0;in;1645671960796602371;1732293725072806116;infosemarangcom;https://twitter.com/infosemarangcom/status/1732293725072806116
Wed Dec 06 01:53:26 +0000 2023;1732216647187153051;"@Pai_C1 Korban bahkan sempat dibawa ke rumah sakit jiwa akibat depresi, Bang 🤦 https://t.co/ED3P9qmRrl";0;0;14;63;in;47274731;1732214672353530161;okezonenews;https://twitter.com/okezonenews/status/1732216647187153051
Wed Dec 06 01:23:27 +0000 2023;1732209101411844367;"@fatinpane @Avolanza Ada kok channel lain yg beritain kesedihan2 dan terus terang itu bikin depresi dan marah bgt jd negative malah ke saya, saya follow akun ini jistru krn ngeliat harapan dari perjuangan mereka. Yes kadang saya jg masih liat akun2 korban dll walaupun perih banget";0;1;0;1;in;255340537;1732114971209982037;rienap;https://twitter.com/rienap/status/1732209101411844367
Tue Dec 05 10:07:41 +0000 2023;1731978642132217919;"@Heraloebss Sang korban bahkan sampai sempat harus dibawa ke rumah sakit jiwa akibat depresi 😢😭 https://t.co/ED3P9qmRrl";1;1;24;89;in;47274731;1731973824089080261;okezonenews;https://twitter.com/okezonenews/status/1731978642132217919
Mon Dec 04 17:07:43 +0000 2023;1731721960261099758;"@itamarbengvir Info terkini.  Bahwa ada gejala tingkat stress, depresi dan kegilaan yang tiba-tiba terjadi dialami oleh Badan Intelijen (mossad), menurut informasi dari salah satu korban yang gila, didalam lembaga Mossad hampir semua petingginya sudah ada gejala mengalami kegilaan massal.";0;0;0;0;in;1646595381160210434;1731581264795169251;BaqirLatie61440;https://twitter.com/BaqirLatie61440/status/1731721960261099758
Mon Dec 04 15:45:57 +0000 2023;1731701380359004401;"@cikaph Kebanyakan nonton sosmed alias korban sosmed Contoh judul: “Ciri ciri kamu terkena depresi” “Ciri ciri keluarga sandwich generation” “Ciri ciri perusahaan/tempat kerjamu toxic”  Elahhhhhh";0;1;0;0;in;1383477739362000899;1731653374012223675;Kadea94G;https://twitter.com/Kadea94G/status/1731701380359004401
Mon Dec 04 04:24:00 +0000 2023;1731529762227810585;"tape puru sllu jadi korban kalo kt stress berat. tape paru-paru jadi korban kalo kt depresi. what should i do now??? so talalu jaooo kita";0;0;0;0;in;1428540510558294020;1731529762227810585;Baealice18;https://twitter.com/Baealice18/status/1731529762227810585
Mon Dec 04 04:23:07 +0000 2023;1731529541041185106;"tape kepala selalu sakiiii kalo stress. kita pe badan sllu jadi korban kalo kt sllu depresi. tape tangan sllu jadi korban kalo kt nd dapa tahang tape diri. anjiing";0;0;0;0;in;1428540510558294020;1731529541041185106;Baealice18;https://twitter.com/Baealice18/status/1731529541041185106
Mon Dec 04 02:03:58 +0000 2023;1731494522465509544;"Heboh Video Siswi SMA Dipaksa Teman Bikin Gerakan Asusila Lalu Direkam  MA, seorang siswi salah satu SMA di Bandar Lampung mengalami depresi lantaran dipaksa rekan kelasnya untuk berbuat asusila. Keluarga korban melapor polisi.  &gt &gt  https://t.co/kv3r8Ed4t0  via @detik_sumbagsel";0;0;2;5;in;69183155;1731494522465509544;detikcom;https://twitter.com/detikcom/status/1731494522465509544
Sun Dec 03 01:19:52 +0000 2023;1731121038577270866;"@dawiguna @ephemeralvirtu @visegrad24 @Valhallaah Hey @dawiguna ..msh tolol ja nte. Di debat agama ketahuan banget nte islamophobia n ahistoris sm agama sendiri.Ehh di realita nte lbh parah..no empati buat anak² yg jd korban genosida Israel. Begini mw nyaleg? Sok atuh..paling jg depresi krn ga ada yg milih nte. Malu²in sia 😡";0;0;0;0;in;1365942073912815622;1730688688852508979;mindlipstick;https://twitter.com/mindlipstick/status/1731121038577270866
Sat Dec 02 10:35:38 +0000 2023;1730898512118952014;"jeda dulu kayaknya capek banget liat korban korban perang,ga bs ngapa2in juga,otak gw udah full banget ke sosmed manapun tetep liat korban perang. bikin gw jadi depresi karena terlalu sedih banget 🥲 sampe migrain…";0;0;0;0;in;1526918945235939329;1730898512118952014;EmpressHere;https://twitter.com/EmpressHere/status/1730898512118952014
Fri Dec 01 07:50:00 +0000 2023;1730494439997530606;"Wanita di Jaktim Tewas Gantung Diri Usai Diduga Diselingkuhi Pacar  Diduga korban depresi lantaran pacarnya selingkuh.  &gt &gt  https://t.co/Aqh5asCaiJ  #detikcom";1;1;0;4;in;69183155;1730494439997530606;detikcom;https://twitter.com/detikcom/status/1730494439997530606
Fri Dec 01 06:38:30 +0000 2023;1730476447410835938;"Ayah di Mojokerto Tewas Dibunuh Putri Kandung, Pelaku Diduga Depresi, Korban Dipukuli Pakai Kursi   https://t.co/tNOAKDTaq1 via @tribunnews";0;0;0;1;in;142305302;1730476447410835938;tribunmedan;https://twitter.com/tribunmedan/status/1730476447410835938
Fri Dec 01 06:30:20 +0000 2023;1730474391040151699;"@letihgundah @menghanyurkan dan bukan kapasitas dokter itu juga untuk menceramahi si korban di situasi kayak gitu. ada yg lebih layak menyampaikannya, psikiater contohnya. mental anak berbeda-beda. jangan sampai niatnya mau membimbing malah membuat depresi seolah gak ada lagi masa depan si anak kena stigma.";1;1;6;75;in;44321053;1730347765278855472;ramazaynworld;https://twitter.com/ramazaynworld/status/1730474391040151699
Fri Dec 01 01:34:13 +0000 2023;1730399871004545336;"#stopbullying karena bullying memiliki dampak yang sangat besar bagi para korban yaitu, depresi, Stress, susah tidur nyenyak, dan masih banyak lagi. JANGAN JADI PELAKU BULLYING JADILAH MEMBELA KEBENARAN. https://t.co/eaK5vJao5G";0;0;0;0;in;1521415246661185536;1730399871004545336;Jezzlyn17;https://twitter.com/Jezzlyn17/status/1730399871004545336
Thu Nov 30 22:43:14 +0000 2023;1730356843258826780;"Selama proses tersebut, seringkali korban tuh goyah dan akhirnya narik tuntutan mereka lagi.  "Apa damai saja ya?" bahkan bisa depresi dan kalau gaada support system milih suicide.   Makanya kalau ada artis dlm proses ini, berikan support kalau kalian yg mendukung ini masih ada.";0;1;0;1;in;1118329036017586176;1730355986060431522;Young_Kein;https://twitter.com/Young_Kein/status/1730356843258826780
Wed Nov 29 12:42:10 +0000 2023;1729843191233257511;"@tubirfess Gue punya family issues Korban abusive parents  Karir ga jelas Struggle sama depresi  Bertahan buat ngga suicide aja udah keren gue mah";1;2;1;32;in;1152392829525565441;1729826364436644283;LawrenK95;https://twitter.com/LawrenK95/status/1729843191233257511
Wed Nov 29 12:38:27 +0000 2023;1729842257484804535;"Yaaaa kalo ngebom wilayah ampe rata, banyak korban orang tua, anak kecil, laki, perempuan ampe janin dalam perut, lo emang dajjal sih kalo ga depresi. Kalo bibi kan emang dajjal";0;0;0;0;in;88625413;1729842257484804535;ked0ndong;https://twitter.com/ked0ndong/status/1729842257484804535
Wed Nov 29 09:40:05 +0000 2023;1729797366994145353;"@Pai_C1 Astaga, paradigma saat ini pelaku bully dilindungi. Korban bully ditelantarkan tanpa solusi berarti. Buktinya pelaku bully masih hidup baik2 saja, tanpa ada efek psikologi berarti. Tp korban bully mengalami depresi, pihak sekolah dan dinas ada dimana? miris...";0;0;0;0;in;1349005487614914565;1729662490802319687;FarafraCreative;https://twitter.com/FarafraCreative/status/1729797366994145353
Tue Nov 28 04:34:08 +0000 2023;1729357987511459952;"@JUJUTSUFESS kalau Rika masih hidup dan dia gak ada yang jadi guidance untuk kehidupannya menurut aku bisa jadi lebih buruk sih, Yuta kayaknya bisa ikutan depresi soalnya Rika itu punya background story kenapa dia bisa begitu🥹😞 yang ada Yuta jadi korban";0;0;1;88;in;864625093;1729354428418039964;zzzerapah;https://twitter.com/zzzerapah/status/1729357987511459952
Mon Nov 27 05:03:13 +0000 2023;1729002918643388495;"@pekalongan_info Lepas dia ngomong gitu dia Ngilang lagi tuhh akhirnya aku tanya sama temen dia yang kebetulan di RS bareng, btw aku tanya dia karena di Ig juga dia di tag brg sama si korban. Dia masuk kesitu dianter dari pihak kampus karena depresi";0;1;0;0;in;1469603316858380292;1728998027590025559;Gendhis972;https://twitter.com/Gendhis972/status/1729002918643388495
Sun Nov 26 09:38:11 +0000 2023;1728709726987587619;"seo jihoon tiap ada tawaran drama dia nanya: karakternya menderita gak?  trs kalo jawabannya: jadi second lead, jadi korban depresi, jadi penyakitan, jadi orang punya trauma dia langsung gas   okeyyy!  😭😭";0;0;0;0;in;1561205797061017600;1728709726987587619;xhylitoxo;https://twitter.com/xhylitoxo/status/1728709726987587619
Sun Nov 26 06:20:58 +0000 2023;1728660098099413497;"yg ga simpati sama kisahnya geto fix nontonnya sambil merem.. pdhl dia tuh contoh remaja korban dari ketidakberesan petinggi jujutsu menangani shaman2 muda. lo ga boleh depresi, lo harus kerja terus, sampe lo mati. ga ada penanganan mental sama sekali. jahat anjg lah";0;1;10;10;in;718653050911461376;1728660098099413497;asukanijimura;https://twitter.com/asukanijimura/status/1728660098099413497
Sat Nov 25 13:44:27 +0000 2023;1728409316288536697;"@Fikfinicky990 @manggasanguan @tanyarlfes Secara logika sih pembully cenderung bakal sukses, karena dia percaya diri bgt, manipulatif &amp  pinter njilat, sdgkn korban bully smakin hancur masa depannya krna trauma, depresi bhkn cenderung suicidal.";1;1;23;101;in;1397444791214874625;1728362849549144482;B4n37;https://twitter.com/B4n37/status/1728409316288536697
Fri Nov 24 17:33:29 +0000 2023;1728104566686904392;"@Greschinov Tolong cari IG anaknya dong ni bapak bebal banget.. pengen banget gw bikin depresi anaknya.. enak aja ngomong salahin hamas padahal udah 14000 korban jiwa https://t.co/RoQVF8GoQ4";0;0;0;0;in;72897783;1727821321877574112;zealanda;https://twitter.com/zealanda/status/1728104566686904392
Fri Nov 24 14:48:21 +0000 2023;1728063008356839640;"@tanyarlfes Tersebut, sampai saat itu tidak menjadi korban kebiadaban bapak'e. Namun bapak'e tersebut setelah menjadi sengsara tanpa harta 1 rupiah pun, katanya tmn gw dia menjadi orang yang strees depresi, dan seolah2 bapak'e tersebut seperti ora g yang dikejar2 hutang, setiap malam seperti";0;1;0;0;in;1063898405716426752;1727722679636201629;hilmandwiii;https://twitter.com/hilmandwiii/status/1728063008356839640
Fri Nov 24 14:17:06 +0000 2023;1728055144409870777;"@shotgunputer @_mardial_ Mereka aja tega bunuh anak kecil, tembakin orang dan srg liat darah. Harusnya mereka depresi Krn efek perang sih. Suara peluru, teriakan korban di kepala mereka.";0;0;0;1;in;1130526032346271744;1727999180063564248;nite_owl123;https://twitter.com/nite_owl123/status/1728055144409870777
Fri Nov 24 13:18:41 +0000 2023;1728040441243951499;"@KontenBerfaedah Solusinya ya smua pihak yg terlibat rasa sakit hati, depresi, dll dipertemukan untk diskusi biar si korban ini tdak depresi. Tjuannya jelas untk nyari solusi agar si korban gak tertekan. Psikolog mah cma sbatas tmen cerita. Plang ke rumah ya ambyar lg tuh pkiran";0;0;0;1;in;1536599316;1727874495812346210;icalPBSI15;https://twitter.com/icalPBSI15/status/1728040441243951499
Fri Nov 24 12:42:18 +0000 2023;1728031285455794400;"kok bisa kantor lo masih mempekerjakan predator seksual yang korban nya banyak sampek ada yang depresi";0;0;0;0;in;1663485111764144128;1728031285455794400;whatpeopledones;https://twitter.com/whatpeopledones/status/1728031285455794400
Fri Nov 24 02:47:11 +0000 2023;1727881517941350750;"cewek kalo jadi korban kekerasan seksual bisa lapor ke komnas perempuan. cowok kalo jadi korban juga bisa. iya bisa depresi. udah mah jadi korban, terus kalo speak up bakal digunjing masyarakat yang isi kepalanya bukan otak, tapi tai.  &gt 80 is real brother";0;1;0;6;in;1684500339251355648;1727881517941350750;junaaa_ori;https://twitter.com/junaaa_ori/status/1727881517941350750
Fri Nov 24 01:32:31 +0000 2023;1727862728638054762;"@__wishmesuccess @Ending13Sad @kdrama_menfess Sama. Sekarang aja aku lagi proses pemulihan akibat trauma berat dan depresi berat karena tindakan bullying. Para pelaku seolah-olah lupa dan cuek, lah aku yang korban? Harus nanggung trauma tanpa mereka tau. Bahkan sekarang kehidupan sosial ku terganggu [cont]";0;1;0;0;in;1532883969309495296;1727668287289577903;yesmeiam___;https://twitter.com/yesmeiam___/status/1727862728638054762
Thu Nov 23 16:06:15 +0000 2023;1727720222759813565;"Tentara israel depresi tidak bisa menarget hamas yang korban adalah sipil, anak dan bayi.";0;0;0;0;in;920016147210166272;1727720222759813565;jaswa87;https://twitter.com/jaswa87/status/1727720222759813565
Thu Nov 23 09:42:21 +0000 2023;1727623611455086881;"@KompasTV Saya kasihan sama Gibran...korban obsesi orang tua, wajah Depresi";0;0;0;0;in;1637069511022243841;1727217899633520979;QO3003;https://twitter.com/QO3003/status/1727623611455086881
Thu Nov 23 02:41:20 +0000 2023;1727517660026741038;"@temporaryp4in G heran bnyk korban revenge porn di indo g bisa speak up, berujung depresi bunuh diri. Reply2 saltyny cukup mnjelaskan knpa. Hidupny pada berat bangetkah smpe kudu bngt hujat orng yg lagi jatuh. Pdhl sender disini g minta kelen ngapa2in. Malah bantuin cwe2 lain ati2 sama ni cowo";0;0;0;0;in;1525878919324643328;1727393739025650147;claraciella;https://twitter.com/claraciella/status/1727517660026741038
Wed Nov 22 08:23:47 +0000 2023;1727241451833364709;"@Kerrohabuk @roseroserose28 @sosmedkeras Gak bisa, saat org sudah di titik depresi itu keinginan yg selalu terlintas adalah ingin bunuh diri sbg shortcut scoping mechanismnya.  Yg bisa memberi support itu adalah org2 terdekat yg korban percayai, kalo sembarang orang ngasih nasehat ya sama aja kayak ceramah umum.";0;1;0;2;in;1202505980354842624;1726974156045263056;IndaShawn;https://twitter.com/IndaShawn/status/1727241451833364709
Wed Nov 22 03:36:47 +0000 2023;1727169225717096934;"@convomfs Bayangin nikah dan hidup seumur hidup sama orang yg ngelecehin lu, cuma karena "nanti ga akan ada mau sama lu". Muak dan depresi banget si korban";0;0;0;0;in;1692405706467708928;1726813700701778113;ArionArkasena;https://twitter.com/ArionArkasena/status/1727169225717096934
Tue Nov 21 17:12:10 +0000 2023;1727012035358335168;"@robinmonotti Situasi meningkatkan kualitas perlawanan para pejuang Hamas, membuat pasukan IDF Israel banyak yang jatuh korban sehingga ketakutan, depresi, stress berat bahkan ada mulai gila pasukan IDF Israel.  Hal tersebut, merupakan tanda kekalahan bagi Zionis Israel melawan pejuang Hamas.";0;0;0;0;in;1646595381160210434;1726938160385433769;BaqirLatie61440;https://twitter.com/BaqirLatie61440/status/1727012035358335168
Tue Nov 21 06:18:18 +0000 2023;1726847486244110434;"@Bersajak_id Keren sih #InfinixInFrontOfUs Bikin Story Anti Bullying biar ga meresahkan, kasian liat korban bullying ada yg sampe depresi";0;0;0;0;in;1705172842126704640;1726840362478768566;DewoScatter;https://twitter.com/DewoScatter/status/1726847486244110434
Tue Nov 21 00:56:16 +0000 2023;1726766444179050604;"Korban bullying di sekolah sampe depresi koma dan meninggal 😢 kalo yg kayak gini hrs di usut sampe tuntas gasi ? Biar pelaku bullying bs dikasih efek jera . Baca surat pernyataan org tua terduga pelaku bilang kalo itu ‘bercandaan’. Becanda sampe bikin org kyk gini. Gilak ! https://t.co/okJvcRDW8L";0;0;0;0;in;1498216587287232514;1726766444179050604;minionkampung;https://twitter.com/minionkampung/status/1726766444179050604
Mon Nov 20 23:08:16 +0000 2023;1726739262555803667;"Anggapan-anggapan tersebut justru membuat korban menganggap dirinya tidak berharga, dan menyimpan luka dalam dirinya yang membuatnya merasa tertekan kemudian mengalami depresi.";0;1;0;0;in;1687870301789732865;1724379932149858685;whifflemacaroon;https://twitter.com/whifflemacaroon/status/1726739262555803667
Mon Nov 20 23:07:11 +0000 2023;1726738993319186532;"Depresi ini dimulai dari perasaan bersalah sang gadis kepada korban, sehingga ia ingin menebus hidup sang korban dengan nyawanya melalui jalan bunuh diri.";0;1;0;0;in;1687870301789732865;1724379932149858685;whifflemacaroon;https://twitter.com/whifflemacaroon/status/1726738993319186532
Mon Nov 20 14:49:44 +0000 2023;1726613805093064757;"2020 : tahun yg paling berat, jadi korban laki², batal nikah. depresi sampe di ruqyah, percobaan bunuh diri kesekian kalinya, mengkonsumsi obat dalam jumlah banyak sampe muntah darah, dengan sengaja mencelakai diri ke kendaraan lain.";0;1;0;0;in;1172868418690641920;1726613704551379344;_monicaabcd;https://twitter.com/_monicaabcd/status/1726613805093064757
Mon Nov 20 12:40:08 +0000 2023;1726581188872348049;"Jika anda belum kuat mental &amp  mengenal diri anda. Kalau anda berinvestasi pada orang yg salah. Belum pernah merasakannya, dan memberikannya pada orang lain anda bisa gila, depresi, frustasi, dan bahkan bisa mengakhiri hidup.   Banyak kasus yg membuat korban gelap mata dan";0;1;0;0;in;1685265120715550720;1726581186397639137;lalalilipopo;https://twitter.com/lalalilipopo/status/1726581188872348049
Mon Nov 20 12:35:08 +0000 2023;1726579929536725437;"@MuhadklyAcho @newsplatter Liat slh satu orangtua dikasari itu ga enak lahir bathin, ayah sy korban kdrt dri istrinya, berakhir mati depresi, korban kdrt itu ga lama kehidupannya akn hilang, no more sparkling life, yg ada hny hampa, kematian diri jiwa mental lalu layu mati sprt tanaman kering hny nunggu 🕰";0;0;4;2;in;635403975;1726570295442669986;via_maulida;https://twitter.com/via_maulida/status/1726579929536725437
Mon Nov 20 04:43:59 +0000 2023;1726461364255010944;"@haploidddd Jadi korban paparazi trs jadi depresi selama 3 bulan takut keluar rumah";0;1;0;0;in;1683080667884834816;1726459100685635983;iceblueemoon27;https://twitter.com/iceblueemoon27/status/1726461364255010944
Sun Nov 19 14:49:53 +0000 2023;1726251454288265255;"korban jiwoong guilty 👹👹👹👹👹 alias parah bgt BJIR jiung, ak sampE ditanya "kamu nanti ada peran jadi orang depresi lagi ta, kok latian triak triak udah ky kmarin" fakmen.. JIUNG AAAAAAAAAAAAAAAA";0;0;0;0;in;1311903487727292416;1726251454288265255;ccqiach;https://twitter.com/ccqiach/status/1726251454288265255
Sun Nov 19 12:53:28 +0000 2023;1726222156814757901;"cuma nonton animenya, dan gw dl mikir "oh depresi doang" setelah baca komen2 netijen disini pada bilang dia red flag, plin-plan, tarik ulur gara2 ibunya, jujur yak mantan gw persis kek gini, gw jd korban tarik-ulur dan plin-plannya dia gara2 masalahnya sama bapaknya";0;0;0;0;in;1666548760921665537;1726222156814757901;craving4chilli;https://twitter.com/craving4chilli/status/1726222156814757901
Sat Nov 18 08:33:40 +0000 2023;1725794387983278213;"Dokter Qory Minggat karena Suami KDRT Terus hingga Depresi, Polisi Bawa Korban ke RSUD untuk Visum. Selengkapnya&gt &gt  https://t.co/jaIOBKFPgV  #dokter #dokterqory #qory #kdrt #suaminya #rsud #kabur #tribunwow #beritaviral https://t.co/jIa5UP4V0J";0;0;0;0;in;803335130148286464;1725794387983278213;TribunWow;https://twitter.com/TribunWow/status/1725794387983278213
Sat Nov 18 02:29:37 +0000 2023;1725702770332979704;"@GuestCyno S-sampo??? SAMPO JUGA? Haaa... ternyata sudah banyak korban ya. Manor terkutuk :depresi:";0;0;0;0;in;864147093031497729;1725313519195979969;ChaserMoriarty;https://twitter.com/ChaserMoriarty/status/1725702770332979704
Fri Nov 17 16:02:12 +0000 2023;1725544878468399441;"Akibat kejadian traumatis tersebut, korban mengalami situasi kejiwaan depresi dan trauma. https://t.co/elOxyg86P0";0;1;0;0;in;23343960;1725544840115757360;kompascom;https://twitter.com/kompascom/status/1725544878468399441
Fri Nov 17 13:46:47 +0000 2023;1725510796938244546;"Komitmen utk berubah ini juga bisa ditandai dg pribadi yg religius, sosok pasangan yg mengayomi, sosok org tua yg mjd teladan, dsb.  Sayangnya, bila pola siklus ini terus berulang, korban akan merasa - depresi - tdk berdaya (helpless) - putus asa (hopeless) - terjebak (trapped)";0;1;1;1;in;271922617;1725510705598927161;RidhaIntifadha;https://twitter.com/RidhaIntifadha/status/1725510796938244546
Fri Nov 17 13:42:11 +0000 2023;1725509639020966266;"Suami Dokter Qory jadi Tersangka KDRT, Korban Diancam Pakai Senjata Tajam hingga Alami Depresi https://t.co/xVSSykvVUB";0;0;0;0;in;1451268902;1725509639020966266;kumpulanaceh;https://twitter.com/kumpulanaceh/status/1725509639020966266
Fri Nov 17 09:16:26 +0000 2023;1725442762093506712;"@Hilmi28 Definisi lu yg ngebom, lu yg depresi!! Apa kabar yg jd korban heeey";0;0;0;0;in;1345703223575789568;1725310153959100425;toppingmeses;https://twitter.com/toppingmeses/status/1725442762093506712
